member,checkin,checkout
100000,2020-03-31T22:21:31Z,2020-04-01T00:01:31Z
100000,2020-04-02T16:59:32Z,2020-04-02T18:55:32Z
100000,2020-04-03T04:27:07Z,2020-04-03T05:15:07Z
100000,2020-04-04T04:37:40Z,2020-04-04T06:35:40Z
100000,2020-04-06T02:57:53Z,2020-04-06T03:53:53Z
100000,2020-04-07T18:13:19Z,2020-04-07T19:51:19Z
100000,2020-04-14T08:59:43Z,2020-04-14T10:19:43Z
100000,2020-04-16T12:42:58Z,2020-04-16T13:20:58Z
100000,2020-04-19T17:59:41Z,2020-04-19T19:13:41Z
100000,2020-04-22T04:39:07Z,2020-04-22T05:41:07Z
100000,2020-04-23T09:23:03Z,2020-04-23T10:01:03Z
100000,2020-04-24T18:24:04Z,2020-04-24T19:31:04Z
100000,2020-04-24T20:09:45Z,2020-04-24T21:06:45Z
100000,2020-04-27T08:13:21Z,2020-04-27T09:44:21Z
100000,2020-04-28T21:28:46Z,2020-04-28T23:05:46Z
100000,2020-04-29T06:35:15Z,2020-04-29T08:06:15Z
100000,2020-04-29T16:51:15Z,2020-04-29T18:00:15Z
100000,2020-04-30T14:37:55Z,2020-04-30T15:35:55Z
100001,2020-04-01T18:09:59Z,2020-04-01T18:46:59Z
100001,2020-04-04T00:36:34Z,2020-04-04T02:26:34Z
100001,2020-04-07T15:33:36Z,2020-04-07T17:31:36Z
100001,2020-04-12T11:05:19Z,2020-04-12T12:25:19Z
100001,2020-04-14T04:51:33Z,2020-04-14T06:35:33Z
100001,2020-04-14T10:07:16Z,2020-04-14T10:52:16Z
100001,2020-04-20T17:34:28Z,2020-04-20T18:19:28Z
100001,2020-04-25T23:43:11Z,2020-04-26T01:31:11Z
100001,2020-04-30T15:44:15Z,2020-04-30T16:06:15Z
100002,2020-04-06T16:19:38Z,2020-04-06T17:41:38Z
100002,2020-04-08T17:16:45Z,2020-04-08T18:12:45Z
100002,2020-04-09T06:51:19Z,2020-04-09T07:54:19Z
100002,2020-04-13T06:11:44Z,2020-04-13T07:48:44Z
100002,2020-04-30T04:53:39Z,2020-04-30T05:24:39Z
100003,2020-04-01T02:17:40Z,2020-04-01T02:47:40Z
100003,2020-04-01T14:41:01Z,2020-04-01T16:01:01Z
100003,2020-04-03T23:07:40Z,2020-04-04T00:25:40Z
100003,2020-04-11T04:56:21Z,2020-04-11T05:24:21Z
100003,2020-04-13T08:18:15Z,2020-04-13T09:47:15Z
100003,2020-04-26T23:39:30Z,2020-04-27T01:15:30Z
100003,2020-04-30T01:11:12Z,2020-04-30T01:31:12Z
100004,2020-04-02T09:19:43Z,2020-04-02T11:19:43Z
100004,2020-04-03T17:49:02Z,2020-04-03T19:27:02Z
100004,2020-04-05T08:08:15Z,2020-04-05T08:34:15Z
100004,2020-04-05T09:19:14Z,2020-04-05T10:24:14Z
100004,2020-04-06T16:25:06Z,2020-04-06T17:50:06Z
100004,2020-04-07T22:48:45Z,2020-04-08T00:15:45Z
100004,2020-04-09T10:08:26Z,2020-04-09T11:49:26Z
100004,2020-04-14T10:42:13Z,2020-04-14T11:41:13Z
100004,2020-04-20T05:21:35Z,2020-04-20T06:43:35Z
100004,2020-04-25T23:48:28Z,2020-04-26T01:12:28Z
100004,2020-04-26T19:56:10Z,2020-04-26T21:17:10Z
100005,2020-04-02T06:06:15Z,2020-04-02T07:58:15Z
100005,2020-04-09T03:26:26Z,2020-04-09T04:25:26Z
100005,2020-04-12T05:42:26Z,2020-04-12T06:31:26Z
100005,2020-04-14T01:58:16Z,2020-04-14T02:22:16Z
100005,2020-04-16T01:18:40Z,2020-04-16T03:01:40Z
100005,2020-04-17T10:10:03Z,2020-04-17T11:39:03Z
100005,2020-04-17T11:27:05Z,2020-04-17T12:46:05Z
100005,2020-04-21T12:37:09Z,2020-04-21T13:25:09Z
100005,2020-04-23T20:41:47Z,2020-04-23T21:11:47Z
